EntrezID	GeneSymbol	Synonyms	GeneName	Chromosome
1993	3340	NDST1	HSST|NST1	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1	chr5
1994	3344	FOXN2	HTLF	forkhead box N2	chr2
1995	3347	HTN3	HIS2|HTN2|HTN5	histatin 3	chr4
1996	3351	HTR1B	5-HT1B|5-HT1DB|HTR1D2|HTR1DB|S12	5-hydroxytryptamine (serotonin) receptor 1B, G protein-coupled	chr6
1997	3354	HTR1E	5-HT1E	5-hydroxytryptamine (serotonin) receptor 1E, G protein-coupled	chr6
1998	3355	HTR1F	5-HT-1F|5-HT1F|5HT6|HTR1EL|MR77	5-hydroxytryptamine (serotonin) receptor 1F, G protein-coupled	chr3
1999	3356	HTR2A	5-HT2A|HTR2	5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled	chr13
2000	3357	HTR2B	5-HT(2B)|5-HT2B	5-hydroxytryptamine (serotonin) receptor 2B, G protein-coupled	chr2
2001	3358	HTR2C	5-HT2C|5-HTR2C|HTR1C	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	chrX
2002	3359	HTR3A	5-HT-3|5-HT3A|5-HT3R|5HT3R|HTR3	5-hydroxytryptamine (serotonin) receptor 3A, ionotropic	chr11
2003	3360	HTR4	5-HT4|5-HT4R	5-hydroxytryptamine (serotonin) receptor 4, G protein-coupled	chr5
2004	3361	HTR5A	5-HT5A	5-hydroxytryptamine (serotonin) receptor 5A, G protein-coupled	chr7
2005	3363	HTR7	5-HT7	5-hydroxytryptamine (serotonin) receptor 7, adenylate cyclase-coupled	chr10
2006	3364	HUS1	hHUS1	HUS1 checkpoint homolog (S. pombe)	chr7
2007	3371	TNC	150-225|GMEM|GP|HXB|JI|TN|TN-C	tenascin C	chr9
2008	3373	HYAL1	HYAL-1|LUCA1|NAT6	hyaluronoglucosaminidase 1	chr3
2009	3375	IAPP	DAP|IAP	islet amyloid polypeptide	chr12
2010	3376	IARS	IARS1|ILERS|ILRS|IRS|PRO0785	isoleucyl-tRNA synthetase	chr9
2011	3381	IBSP	BNSP|BSP|BSP-II|SP-II	integrin-binding sialoprotein	chr4
2012	3382	ICA1	ICA69|ICAp69	islet cell autoantigen 1, 69kDa	chr7
2013	3383	ICAM1	BB2|CD54|P3.58	intercellular adhesion molecule 1	chr19
2014	3384	ICAM2	CD102	intercellular adhesion molecule 2	chr17
2015	3385	ICAM3	CD50|CDW50|ICAM-R	intercellular adhesion molecule 3	chr19
2016	3386	ICAM4	CD242|LW	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	chr19
2017	3394	IRF8	H-ICSBP|ICSBP|ICSBP1|IRF-8	interferon regulatory factor 8	chr16
2018	3396	ICT1	DS-1|DS1	immature colon carcinoma transcript 1	chr17
2019	3397	ID1	ID|bHLHb24	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	chr20
2020	3398	ID2	GIG8|ID2A|ID2H|bHLHb26	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	chr2
2021	3399	ID3	HEIR-1|bHLHb25	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein	chr1
2022	3400	ID4	IDB4|bHLHb27	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein	chr6
2023	3416	IDE	INSULYSIN	insulin-degrading enzyme	chr10
2024	3417	IDH1	IDCD|IDH|IDP|IDPC|PICD	isocitrate dehydrogenase 1 (NADP+), soluble	chr2
2025	3418	IDH2	D2HGA2|ICD-M|IDH|IDHM|IDP|IDPM|mNADP-IDH	isocitrate dehydrogenase 2 (NADP+), mitochondrial	chr15
2026	3419	IDH3A	-	isocitrate dehydrogenase 3 (NAD+) alpha	chr15
2027	3420	IDH3B	H-IDHB|RP46	isocitrate dehydrogenase 3 (NAD+) beta	chr20
2028	3421	IDH3G	H-IDHG	isocitrate dehydrogenase 3 (NAD+) gamma	chrX
2029	3422	IDI1	IPP1|IPPI1	isopentenyl-diphosphate delta isomerase 1	chr10
2030	3423	IDS	MPS2|SIDS	iduronate 2-sulfatase	chrX
2031	3425	IDUA	IDA|MPS1	iduronidase, alpha-L-	chr4
2032	3426	CFI	AHUS3|C3BINA|C3b-INA|FI|IF|KAF	complement factor I	chr4
2033	3428	IFI16	IFNGIP1|PYHIN2	interferon, gamma-inducible protein 16	chr1
2034	3429	IFI27	FAM14D|ISG12|ISG12A|P27	interferon, alpha-inducible protein 27	chr14
2035	3430	IFI35	IFP35	interferon-induced protein 35	chr17
2036	3431	SP110	IFI41|IFI75|IPR1|VODI	SP110 nuclear body protein	chr2
2037	3433	IFIT2	G10P2|GARG-39|IFI-54|IFI-54K|IFI54|IFIT-2|ISG-54 K|ISG-54K|ISG54|P54|cig42	interferon-induced protein with tetratricopeptide repeats 2	chr10
2038	3434	IFIT1	C56|G10P1|IFI-56|IFI-56K|IFI56|IFIT-1|IFNAI1|ISG56|P56|RNM561	interferon-induced protein with tetratricopeptide repeats 1	chr10
2039	3440	IFNA2	IFN-alphaA|IFNA|IFNA2B|INFA2	interferon, alpha 2	chr9
2040	3442	IFNA5	IFN-alpha-5|IFN-alphaG|INA5|INFA5|leIF G	interferon, alpha 5	chr9
2041	3443	IFNA6	IFN-alphaK	interferon, alpha 6	chr9
2042	3445	IFNA8	IFN-alphaB	interferon, alpha 8	chr9
2043	3446	IFNA10	IFN-alphaC	interferon, alpha 10	chr9
2044	3452	IFNA21	IFN-alphaI|LeIF F|leIF-F	interferon, alpha 21	chr9
2045	3454	IFNAR1	AVP|IFN-alpha-REC|IFNAR|IFNBR|IFRC	interferon (alpha, beta and omega) receptor 1	chr21
2046	3455	IFNAR2	IFN-R|IFN-alpha-REC|IFNABR|IFNARB	interferon (alpha, beta and omega) receptor 2	chr21
2047	3456	IFNB1	IFB|IFF|IFNB	interferon, beta 1, fibroblast	chr9
2048	3458	IFNG	IFG|IFI	interferon, gamma	chr12
2049	3459	IFNGR1	CD119|IFNGR	interferon gamma receptor 1	chr6
2050	3460	IFNGR2	AF-1|IFGR2|IFNGT1	interferon gamma receptor 2 (interferon gamma transducer 1)	chr21
2051	3467	IFNW1	-	interferon, omega 1	chr9
2052	3475	IFRD1	PC4|TIS7	interferon-related developmental regulator 1	chr7
2053	3476	IGBP1	ALPHA-4|IBP1	immunoglobulin (CD79A) binding protein 1	chrX
2054	3479	IGF1	IGF-I|IGF1A|IGFI	insulin-like growth factor 1 (somatomedin C)	chr12
2055	3480	IGF1R	CD221|IGFIR|IGFR|JTK13	insulin-like growth factor 1 receptor	chr15
2056	3482	IGF2R	CD222|CIMPR|M6P-R|MPR1|MPRI	insulin-like growth factor 2 receptor	chr6
2057	3483	IGFALS	ALS	insulin-like growth factor binding protein, acid labile subunit	chr16
2058	3484	IGFBP1	AFBP|IBP1|IGF-BP25|PP12|hIGFBP-1	insulin-like growth factor binding protein 1	chr7
2059	3485	IGFBP2	IBP2|IGF-BP53	insulin-like growth factor binding protein 2, 36kDa	chr2
2060	3486	IGFBP3	BP-53|IBP3	insulin-like growth factor binding protein 3	chr7
2061	3487	IGFBP4	BP-4|HT29-IGFBP|IBP4|IGFBP-4	insulin-like growth factor binding protein 4	chr17
2062	3488	IGFBP5	IBP5	insulin-like growth factor binding protein 5	chr2
2063	3489	IGFBP6	IBP6	insulin-like growth factor binding protein 6	chr12
2064	3490	IGFBP7	AGM|FSTL2|IBP-7|IGFBP-7|IGFBP-7v|IGFBPRP1|MAC25|PSF|RAMSVPS|TAF	insulin-like growth factor binding protein 7	chr4
2065	3491	CYR61	CCN1|GIG1|IGFBP10	cysteine-rich, angiogenic inducer, 61	chr1
2066	3508	IGHMBP2	CATF1|HCSA|HMN6|SMARD1|SMUBP2|ZFAND7	immunoglobulin mu binding protein 2	chr11
2067	3516	RBPJ	AOS3|CBF1|IGKJRB|IGKJRB1|KBF2|RBP-J|RBPJK|RBPSUH|SUH|csl	recombination signal binding protein for immunoglobulin kappa J region	chr4
2068	3543	IGLL1	14.1|AGM2|CD179b|IGL1|IGL5|IGLJ14.1|IGLL|IGO|IGVPB|VPREB2	immunoglobulin lambda-like polypeptide 1	chr22
2069	3547	IGSF1	CHTE|IGCD1|IGDC1|INHBP|PGSF2|p120	immunoglobulin superfamily, member 1	chrX
2070	3550	IK	CSA2|RED	IK cytokine, down-regulator of HLA II	chr5
2071	3551	IKBKB	IKK-beta|IKK2|IKKB|NFKBIKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta	chr8
2072	3552	IL1A	IL-1A|IL1|IL1-ALPHA|IL1F1	interleukin 1, alpha	chr2
2073	3553	IL1B	IL-1|IL1-BETA|IL1F2	interleukin 1, beta	chr2
2074	3554	IL1R1	CD121A|D2S1473|IL-1R-alpha|IL1R|IL1RA|P80	interleukin 1 receptor, type I	chr2
2075	3556	IL1RAP	C3orf13|IL-1RAcP|IL1R3	interleukin 1 receptor accessory protein	chr3
2076	3557	IL1RN	DIRA|ICIL-1RA|IL-1RN|IL-1ra|IL-1ra3|IL1F3|IL1RA|IRAP|MVCD4	interleukin 1 receptor antagonist	chr2
2077	3558	IL2	IL-2|TCGF|lymphokine	interleukin 2	chr4
2078	3559	IL2RA	CD25|IDDM10|IL2R|TCGFR	interleukin 2 receptor, alpha	chr10
2079	3560	IL2RB	CD122|IL15RB|P70-75	interleukin 2 receptor, beta	chr22
2080	3561	IL2RG	CD132|CIDX|IL-2RG|IMD4|P64|SCIDX|SCIDX1	interleukin 2 receptor, gamma	chrX
2081	3562	IL3	IL-3|MCGF|MULTI-CSF	interleukin 3 (colony-stimulating factor, multiple)	chr5
2082	3565	IL4	BCGF-1|BCGF1|BSF-1|BSF1|IL-4	interleukin 4	chr5
2083	3566	IL4R	CD124|IL-4RA|IL4RA	interleukin 4 receptor	chr16
2084	3567	IL5	EDF|IL-5|TRF	interleukin 5 (colony-stimulating factor, eosinophil)	chr5
2085	3568	IL5RA	CD125|CDw125|HSIL5R3|IL5R	interleukin 5 receptor, alpha	chr3
2086	3569	IL6	BSF2|HGF|HSF|IFNB2|IL-6	interleukin 6 (interferon, beta 2)	chr7
2087	3570	IL6R	CD126|IL-6R-1|IL-6RA|IL6Q|IL6RA|IL6RQ|gp80	interleukin 6 receptor	chr1
2088	3572	IL6ST	CD130|CDW130|GP130|IL-6RB	interleukin 6 signal transducer (gp130, oncostatin M receptor)	chr5
2089	3574	IL7	IL-7	interleukin 7	chr8
2090	3575	IL7R	CD127|CDW127|IL-7R-alpha|IL7RA|ILRA	interleukin 7 receptor	chr5
2091	3576	IL8	CXCL8|GCP-1|GCP1|LECT|LUCT|LYNAP|MDNCF|MONAP|NAF|NAP-1|NAP1	interleukin 8	chr4
2092	3578	IL9	HP40|IL-9|P40	interleukin 9	chr5
2093	3586	IL10	CSIF|GVHDS|IL-10|IL10A|TGIF	interleukin 10	chr1
2094	3587	IL10RA	CD210|CD210a|CDW210A|HIL-10R|IL-10R1|IL10R	interleukin 10 receptor, alpha	chr11
2095	3588	IL10RB	CDW210B|CRF2-4|CRFB4|D21S58|D21S66|IL-10R2	interleukin 10 receptor, beta	chr21
2096	3589	IL11	AGIF|IL-11	interleukin 11	chr19
2097	3590	IL11RA	CRSDA	interleukin 11 receptor, alpha	chr9
2098	3592	IL12A	CLMF|IL-12A|NFSK|NKSF1|P35	interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)	chr3
2099	3593	IL12B	CLMF|CLMF2|IL-12B|NKSF|NKSF2	interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)	chr5
2100	3594	IL12RB1	CD212|IL-12R-BETA1|IL12RB	interleukin 12 receptor, beta 1	chr19
2101	3595	IL12RB2	-	interleukin 12 receptor, beta 2	chr1
2102	3596	IL13	IL-13|P600	interleukin 13	chr5
2103	3597	IL13RA1	CD213A1|IL-13Ra|NR4	interleukin 13 receptor, alpha 1	chrX
2104	3598	IL13RA2	CD213A2|CT19|IL-13R|IL13BP	interleukin 13 receptor, alpha 2	chrX
2105	3600	IL15	IL-15	interleukin 15	chr4
2106	3601	IL15RA	CD215	interleukin 15 receptor, alpha	chr10
2107	3603	IL16	LCF|NIL16|PRIL16|prIL-16	interleukin 16	chr15
2108	3604	TNFRSF9	4-1BB|CD137|CDw137|ILA	tumor necrosis factor receptor superfamily, member 9	chr1
2109	3605	IL17A	CTLA8|IL-17|IL-17A|IL17	interleukin 17A	chr6
2110	3606	IL18	IGIF|IL-18|IL-1g|IL1F4	interleukin 18 (interferon-gamma-inducing factor)	chr11
2111	3607	FOXK2	ILF|ILF-1|ILF1	forkhead box K2	chr17
2112	3608	ILF2	NF45|PRO3063	interleukin enhancer binding factor 2	chr1
2113	3609	ILF3	CBTF|DRBF|DRBP76|MMP4|MPHOSPH4|MPP4|NF-AT-90|NF110|NF110b|NF90|NF90a|NF90b|NFAR|NFAR-1|NFAR2|TCP110|TCP80	interleukin enhancer binding factor 3, 90kDa	chr19
2114	3611	ILK	ILK-1|ILK-2|P59|p59ILK	integrin-linked kinase	chr11
2115	3612	IMPA1	IMP|IMPA	inositol(myo)-1(or 4)-monophosphatase 1	chr8
2116	3613	IMPA2	-	inositol(myo)-1(or 4)-monophosphatase 2	chr18
2117	3614	IMPDH1	IMPD|IMPD1|LCA11|RP10|sWSS2608	IMP (inosine 5'-monophosphate) dehydrogenase 1	chr7
2118	3615	IMPDH2	IMPD2|IMPDH-II	IMP (inosine 5'-monophosphate) dehydrogenase 2	chr3
2119	3617	IMPG1	GP147|IPM150|SPACR	interphotoreceptor matrix proteoglycan 1	chr6
2120	3619	INCENP	-	inner centromere protein antigens 135/155kDa	chr11
2121	3621	ING1	p24ING1c|p33|p33ING1|p33ING1b|p47|p47ING1a	inhibitor of growth family, member 1	chr13
2122	3622	ING2	ING1L|p33ING2	inhibitor of growth family, member 2	chr4
2123	3623	INHA	-	inhibin, alpha	chr2
2124	3624	INHBA	EDF|FRP	inhibin, beta A	chr7
2125	3625	INHBB	-	inhibin, beta B	chr2
2126	3627	CXCL10	C7|IFI10|INP10|IP-10|SCYB10|crg-2|gIP-10|mob-1	chemokine (C-X-C motif) ligand 10	chr4
2127	3628	INPP1	-	inositol polyphosphate-1-phosphatase	chr2
2128	3630	INS	IDDM2|ILPR|IRDN|MODY10	insulin	chr11
2129	3631	INPP4A	INPP4|TVAS1	inositol polyphosphate-4-phosphatase, type I, 107kDa	chr2
2130	3632	INPP5A	5PTASE	inositol polyphosphate-5-phosphatase, 40kDa	chr10
2131	3633	INPP5B	5PTase	inositol polyphosphate-5-phosphatase, 75kDa	chr1
2132	3636	INPPL1	OPSMD|SHIP2	inositol polyphosphate phosphatase-like 1	chr11
2133	3638	INSIG1	CL-6|CL6	insulin induced gene 1	chr7
2134	3640	INSL3	RLF|RLNL|ley-I-L	insulin-like 3 (Leydig cell)	chr19
2135	3641	INSL4	EPIL|PLACENTIN	insulin-like 4 (placenta)	chr9
2136	3642	INSM1	IA-1|IA1	insulinoma-associated 1	chr20
2137	3643	INSR	CD220|HHF5	insulin receptor	chr19
2138	3645	INSRR	IRR	insulin receptor-related receptor	chr1
2139	3651	PDX1	GSF|IDX-1|IPF1|IUF1|MODY4|PDX-1|STF-1	pancreatic and duodenal homeobox 1	chr13
2140	3652	IPP	KLHL27	intracisternal A particle-promoted polypeptide	chr1
2141	3654	IRAK1	IRAK|pelle	interleukin-1 receptor-associated kinase 1	chrX
2142	3655	ITGA6	CD49f|ITGA6B|VLA-6	integrin, alpha 6	chr2
2143	3658	IREB2	ACO3|IRP2|IRP2AD	iron-responsive element binding protein 2	chr15
2144	3659	IRF1	IRF-1|MAR	interferon regulatory factor 1	chr5
2145	3660	IRF2	IRF-2	interferon regulatory factor 2	chr4
2146	3661	IRF3	-	interferon regulatory factor 3	chr19
2147	3662	IRF4	LSIRF|MUM1|NF-EM5	interferon regulatory factor 4	chr6
2148	3663	IRF5	SLEB10	interferon regulatory factor 5	chr7
2149	3665	IRF7	IRF-7H|IRF7A|IRF7B|IRF7C|IRF7H	interferon regulatory factor 7	chr11
2150	3667	IRS1	HIRS-1	insulin receptor substrate 1	chr2
2151	3669	ISG20	CD25|HEM45	interferon stimulated exonuclease gene 20kDa	chr15
2152	3670	ISL1	ISLET1|Isl-1	ISL LIM homeobox 1	chr5
2153	3671	ISLR	HsT17563	immunoglobulin superfamily containing leucine-rich repeat	chr15
2154	3673	ITGA2	BR|CD49B|GPIa|HPA-5|VLA-2|VLAA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	chr5
2155	3674	ITGA2B	BDPLT16|BDPLT2|CD41|CD41B|GP2B|GPIIb|GT|GTA|HPA3	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)	chr17
2156	3675	ITGA3	CD49C|GAP-B3|GAPB3|ILNEB|MSK18|VCA-2|VL3A|VLA3a	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)	chr17
2157	3676	ITGA4	CD49D|IA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	chr2
2158	3678	ITGA5	CD49e|FNRA|VLA5A	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)	chr12
2159	3679	ITGA7	-	integrin, alpha 7	chr12
2160	3680	ITGA9	ALPHA-RLC|ITGA4L|RLC	integrin, alpha 9	chr3
2161	3682	ITGAE	CD103|HUMINAE	integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)	chr17
2162	3683	ITGAL	CD11A|LFA-1|LFA1A	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)	chr16
2163	3684	ITGAM	CD11B|CR3A|MAC-1|MAC1A|MO1A|SLEB6	integrin, alpha M (complement component 3 receptor 3 subunit)	chr16
2164	3685	ITGAV	CD51|MSK8|VNRA|VTNR	integrin, alpha V	chr2
2165	3687	ITGAX	CD11C|SLEB6	integrin, alpha X (complement component 3 receptor 4 subunit)	chr16
2166	3688	ITGB1	CD29|FNRB|GPIIA|MDF2|MSK12|VLA-BETA|VLAB	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	chr10
2167	3689	ITGB2	CD18|LAD|LCAMB|LFA-1|MAC-1|MF17|MFI7	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	chr21
2168	3690	ITGB3	BDPLT16|BDPLT2|CD61|GP3A|GPIIIa|GT	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	chr17
2169	3691	ITGB4	CD104	integrin, beta 4	chr17
2170	3693	ITGB5	-	integrin, beta 5	chr3
2171	3694	ITGB6	-	integrin, beta 6	chr2
2172	3695	ITGB7	-	integrin, beta 7	chr12
2173	3696	ITGB8	-	integrin, beta 8	chr7
2174	3697	ITIH1	H1P|IATIH|IGHEP1|ITI-HC1|ITIH|SHAP	inter-alpha-trypsin inhibitor heavy chain 1	chr3
2175	3698	ITIH2	H2P|SHAP	inter-alpha-trypsin inhibitor heavy chain 2	chr10
2176	3699	ITIH3	H3P	inter-alpha-trypsin inhibitor heavy chain 3	chr3
2177	3700	ITIH4	GP120|H4P|IHRP|ITI-HC4|ITIHL1|PK-120|PK120	inter-alpha-trypsin inhibitor heavy chain family, member 4	chr3
2178	3702	ITK	EMT|LPFS1|LYK|PSCTK2	IL2-inducible T-cell kinase	chr5
2179	3703	STT3A	ITM1|STT3-A|TMC	STT3A, subunit of the oligosaccharyltransferase complex (catalytic)	chr11
2180	3704	ITPA	C20orf37|HLC14-06-P|dJ794I6.3	inosine triphosphatase (nucleoside triphosphate pyrophosphatase)	chr20
2181	3705	ITPK1	ITRPK1	inositol-tetrakisphosphate 1-kinase	chr14
2182	3706	ITPKA	IP3-3KA|IP3KA	inositol-trisphosphate 3-kinase A	chr15
2183	3707	ITPKB	IP3-3KB|IP3K|IP3K-B|IP3KB|PIG37	inositol-trisphosphate 3-kinase B	chr1
2184	3708	ITPR1	INSP3R1|IP3R|IP3R1|SCA15|SCA16|SCA29	inositol 1,4,5-trisphosphate receptor, type 1	chr3
2185	3709	ITPR2	IP3R2	inositol 1,4,5-trisphosphate receptor, type 2	chr12
2186	3710	ITPR3	IP3R|IP3R3	inositol 1,4,5-trisphosphate receptor, type 3	chr6
2187	3712	IVD	ACAD2	isovaleryl-CoA dehydrogenase	chr15
2188	3713	IVL	-	involucrin	chr1
2189	3714	JAG2	HJ2|SER2	jagged 2	chr14
2190	3716	JAK1	JAK1A|JAK1B|JTK3	Janus kinase 1	chr1
2191	3717	JAK2	JTK10|THCYT3	Janus kinase 2	chr9
2192	3718	JAK3	JAK-3|JAK3_HUMAN|JAKL|L-JAK|LJAK	Janus kinase 3	chr19
2193	3720	JARID2	JMJ	jumonji, AT rich interactive domain 2	chr6
2194	3725	JUN	AP-1|AP1|c-Jun	jun proto-oncogene	chr1
2195	3726	JUNB	AP-1	jun B proto-oncogene	chr19
2196	3727	JUND	AP-1	jun D proto-oncogene	chr19
2197	3728	JUP	ARVD12|CTNNG|DP3|DPIII|PDGB|PKGB	junction plakoglobin	chr17
2198	3730	KAL1	ADMLX|HH1|HHA|KAL|KALIG-1|KMS|WFDC19	Kallmann syndrome 1 sequence	chrX
2199	3732	CD82	4F9|C33|GR15|IA4|KAI1|R2|SAR2|ST6|TSPAN27	CD82 molecule	chr11
2200	3736	KCNA1	AEMK|EA1|HBK1|HUK1|KV1.1|MBK1|MK1|RBK1	potassium voltage-gated channel, shaker-related subfamily, member 1 (episodic ataxia with myokymia)	chr12
2201	3737	KCNA2	HBK5|HK4|HUKIV|KV1.2|MK2|NGK1|RBK2	potassium voltage-gated channel, shaker-related subfamily, member 2	chr1
2202	3738	KCNA3	HGK5|HLK3|HPCN3|HUKIII|KV1.3|MK3|PCN3	potassium voltage-gated channel, shaker-related subfamily, member 3	chr1
2203	3739	KCNA4	HBK4|HK1|HPCN2|HUKII|KCNA4L|KCNA8|KV1.4|PCN2	potassium voltage-gated channel, shaker-related subfamily, member 4	chr11
2204	3741	KCNA5	ATFB7|HCK1|HK2|HPCN1|KV1.5|PCN1	potassium voltage-gated channel, shaker-related subfamily, member 5	chr12
2205	3744	KCNA10	Kcn1|Kv1.8	potassium voltage-gated channel, shaker-related subfamily, member 10	chr1
2206	3745	KCNB1	DRK1|KV2.1|h-DRK1	potassium voltage-gated channel, Shab-related subfamily, member 1	chr20
2207	3746	KCNC1	KV3.1|KV4|NGK2	potassium voltage-gated channel, Shaw-related subfamily, member 1	chr11
2208	3747	KCNC2	KV3.2	potassium voltage-gated channel, Shaw-related subfamily, member 2	chr12
2209	3748	KCNC3	KSHIIID|KV3.3|SCA13	potassium voltage-gated channel, Shaw-related subfamily, member 3	chr19
2210	3749	KCNC4	C1orf30|HKSHIIIC|KSHIIIC|KV3.4	potassium voltage-gated channel, Shaw-related subfamily, member 4	chr1
2211	3750	KCND1	KV4.1	potassium voltage-gated channel, Shal-related subfamily, member 1	chrX
2212	3751	KCND2	KV4.2|RK5	potassium voltage-gated channel, Shal-related subfamily, member 2	chr7
2213	3752	KCND3	KCND3L|KCND3S|KSHIVB|KV4.3	potassium voltage-gated channel, Shal-related subfamily, member 3	chr1
2214	3753	KCNE1	ISK|JLNS|JLNS2|LQT2/5|LQT5|MinK	potassium voltage-gated channel, Isk-related family, member 1	chr21
2215	3754	KCNF1	IK8|KCNF|KV5.1|kH1	potassium voltage-gated channel, subfamily F, member 1	chr2
2216	3755	KCNG1	K13|KCNG|KV6.1|kH2	potassium voltage-gated channel, subfamily G, member 1	chr20
2217	3756	KCNH1	EAG|EAG1|Kv10.1|h-eag	potassium voltage-gated channel, subfamily H (eag-related), member 1	chr1
2218	3757	KCNH2	ERG1|HERG|HERG1|Kv11.1|LQT2|SQT1	potassium voltage-gated channel, subfamily H (eag-related), member 2	chr7
2219	3758	KCNJ1	KIR1.1|ROMK|ROMK1	potassium inwardly-rectifying channel, subfamily J, member 1	chr11
2220	3759	KCNJ2	ATFB9|HHBIRK1|HHIRK1|IRK1|KIR2.1|LQT7|SQT3	potassium inwardly-rectifying channel, subfamily J, member 2	chr17
2221	3760	KCNJ3	GIRK1|KGA|KIR3.1	potassium inwardly-rectifying channel, subfamily J, member 3	chr2
2222	3761	KCNJ4	HIR|HIRK2|HRK1|IRK-3|IRK3|Kir2.3	potassium inwardly-rectifying channel, subfamily J, member 4	chr22
2223	3762	KCNJ5	CIR|GIRK4|KATP1|KIR3.4|LQT13	potassium inwardly-rectifying channel, subfamily J, member 5	chr11
2224	3763	KCNJ6	BIR1|GIRK-2|GIRK2|KATP-2|KATP2|KCNJ7|KIR3.2|hiGIRK2	potassium inwardly-rectifying channel, subfamily J, member 6	chr21
2225	3764	KCNJ8	KIR6.1|uKATP-1	potassium inwardly-rectifying channel, subfamily J, member 8	chr12
2226	3765	KCNJ9	GIRK3|KIR3.3	potassium inwardly-rectifying channel, subfamily J, member 9	chr1
2227	3766	KCNJ10	BIRK-10|KCNJ13-PEN|KIR1.2|KIR4.1|SESAME	potassium inwardly-rectifying channel, subfamily J, member 10	chr1
2228	3768	KCNJ12	IRK-2|IRK2|KCNJN1|Kir2.2|Kir2.2v|hIRK|hIRK1|hkir2.2x|kcnj12x	potassium inwardly-rectifying channel, subfamily J, member 12	chr17
2229	3769	KCNJ13	KIR1.4|KIR7.1|LCA16|SVD	potassium inwardly-rectifying channel, subfamily J, member 13	chr2
2230	3770	KCNJ14	IRK4|KIR2.4	potassium inwardly-rectifying channel, subfamily J, member 14	chr19
2231	3772	KCNJ15	IRKK|KIR1.3|KIR4.2	potassium inwardly-rectifying channel, subfamily J, member 15	chr21
2232	3773	KCNJ16	BIR9|KIR5.1	potassium inwardly-rectifying channel, subfamily J, member 16	chr17
2233	3775	KCNK1	DPK|HOHO|K2P1|K2p1.1|KCNO1|TWIK-1|TWIK1	potassium channel, subfamily K, member 1	chr1
2234	3776	KCNK2	K2p2.1|TPKC1|TREK|TREK-1|TREK1|hTREK-1c|hTREK-1e	potassium channel, subfamily K, member 2	chr1
2235	3777	KCNK3	K2p3.1|OAT1|PPH4|TASK|TASK-1|TBAK1	potassium channel, subfamily K, member 3	chr2
2236	3778	KCNMA1	BKTM|KCa1.1|MaxiK|SAKCA|SLO|SLO-ALPHA|SLO1|bA205K10.1|mSLO1	potassium large conductance calcium-activated channel, subfamily M, alpha member 1	chr10
2237	3779	KCNMB1	BKbeta1|K(VCA)beta|SLO-BETA|hbeta1|hslo-beta|k(VCA)beta-1|slo-beta-1	potassium large conductance calcium-activated channel, subfamily M, beta member 1	chr5
2238	3780	KCNN1	KCa2.1|SK1|SKCA1|hSK1	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1	chr19
2239	3781	KCNN2	KCa2.2|SK2|SKCA2|SKCa 2|hSK2	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2	chr5
2240	3783	KCNN4	IK1|IKCA1|KCA4|KCa3.1|SK4|hIKCa1|hKCa4|hSK4	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	chr19
2241	3784	KCNQ1	ATFB1|ATFB3|JLNS1|KCNA8|KCNA9|KVLQT1|Kv1.9|Kv7.1|LQT|LQT1|RWS|SQT2|WRS	potassium voltage-gated channel, KQT-like subfamily, member 1	chr11
2242	3785	KCNQ2	BFNC|BFNS1|EBN|EBN1|EIEE7|ENB1|HNSPC|KCNA11|KV7.2|KVEBN1	potassium voltage-gated channel, KQT-like subfamily, member 2	chr20
2243	3786	KCNQ3	BFNC2|EBN2|KV7.3	potassium voltage-gated channel, KQT-like subfamily, member 3	chr8
2244	3787	KCNS1	KV9.1	potassium voltage-gated channel, delayed-rectifier, subfamily S, member 1	chr20
